      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 10   00:57:19   7662      0   01:41:21   9452      0
  9   01:13:29   8199      0       >24h  42682      0
  8   16:46:31  43385      0   17:06:11  41119      0
  7   00:59:10   8223      0   01:04:33   7044      0
  6   00:26:16   5077      0   04:54:03  14310      0
  5   04:07:41  26347      0   21:00:15  59559      0
  4   02:28:51  18765      0   14:49:53  57470      0
  3   03:52:34  36392      0   04:34:41  31862      0
  2   00:54:43  13483      0   01:00:17   8539      0
  1   02:29:51  15432      0   03:50:02  19551      0
